Word;Frequency;Frequency in %
the;0,0332;3,3177
and;0,0295;2,9467
to;0,0233;2,3324
of;0,0205;2,0527
i;0,0192;1,9249
a;0,0174;1,7364
you;0,0170;1,6969
my;0,0158;1,5813
in;0,0137;1,3715
it;0,0128;1,2803
that;0,0123;1,2316
is;0,0111;1,1069
ham;0,0109;1,0887
not;0,0096;0,9579
d;0,0093;0,9275
his;0,0092;0,9245
this;0,0091;0,9123
with;0,0085;0,8454
but;0,0083;0,8332
for;0,0077;0,7663
your;0,0074;0,7359
s;0,0073;0,7268
me;0,0071;0,7146
as;0,0070;0,6964
lord;0,0069;0,6873
he;0,0068;0,6812
be;0,0068;0,6781
what;0,0067;0,6660
king;0,0062;0,6173
him;0,0060;0,5991
so;0,0060;0,5960
have;0,0056;0,5565
will;0,0053;0,5261
do;0,0049;0,4866
o;0,0048;0,4835
we;0,0047;0,4653
no;0,0043;0,4318
on;0,0041;0,4136
are;0,0040;0,4014
all;0,0038;0,3801
by;0,0037;0,3680
queen;0,0037;0,3680
our;0,0036;0,3649
hamlet;0,0036;0,3558
if;0,0036;0,3558
or;0,0035;0,3497
shall;0,0035;0,3467
good;0,0033;0,3315
hor;0,0033;0,3315
come;0,0033;0,3254
thou;0,0033;0,3254
let;0,0032;0,3223
they;0,0031;0,3102
now;0,0030;0,3011
t;0,0029;0,2919
from;0,0029;0,2889
more;0,0029;0,2889
there;0,0029;0,2889
her;0,0028;0,2767
how;0,0027;0,2737
at;0,0026;0,2646
was;0,0026;0,2646
pol;0,0026;0,2615
thy;0,0026;0,2615
like;0,0026;0,2554
most;0,0025;0,2494
would;0,0025;0,2463
well;0,0024;0,2372
know;0,0023;0,2342
ll;0,0023;0,2311
sir;0,0023;0,2281
th;0,0023;0,2250
them;0,0023;0,2250
enter;0,0022;0,2220
tis;0,0022;0,2220
us;0,0022;0,2190
father;0,0022;0,2159
go;0,0022;0,2159
may;0,0022;0,2159
love;0,0021;0,2068
did;0,0020;0,2007
very;0,0020;0,2007
hath;0,0020;0,1977
then;0,0020;0,1977
which;0,0019;0,1946
why;0,0019;0,1946
here;0,0019;0,1916
speak;0,0019;0,1916
laer;0,0019;0,1885
must;0,0019;0,1855
give;0,0018;0,1825
such;0,0018;0,1794
thee;0,0018;0,1794
an;0,0018;0,1764
oph;0,0018;0,1764
man;0,0017;0,1733
their;0,0017;0,1733
upon;0,0017;0,1733
am;0,0017;0,1703
say;0,0017;0,1703
should;0,0017;0,1703
when;0,0017;0,1703
where;0,0017;0,1703
make;0,0017;0,1673
out;0,0017;0,1673
some;0,0016;0,1612
she;0,0016;0,1551
too;0,0016;0,1551
than;0,0015;0,1520
much;0,0015;0,1490
one;0,0015;0,1490
play;0,0015;0,1490
night;0,0015;0,1460
think;0,0015;0,1460
heaven;0,0014;0,1429
horatio;0,0014;0,1429
these;0,0014;0,1429
laertes;0,0014;0,1399
mother;0,0014;0,1399
see;0,0014;0,1399
time;0,0014;0,1399
ros;0,0014;0,1368
who;0,0014;0,1368
had;0,0013;0,1338
tell;0,0013;0,1308
thus;0,0013;0,1308
yet;0,0013;0,1308
look;0,0012;0,1247
exit;0,0012;0,1216
own;0,0012;0,1186
up;0,0012;0,1186
ay;0,0012;0,1156
death;0,0011;0,1125
exeunt;0,0011;0,1125
nor;0,0011;0,1125
clown;0,0011;0,1095
god;0,0011;0,1095
polonius;0,0011;0,1095
take;0,0011;0,1095
both;0,0011;0,1064
ghost;0,0011;0,1064
soul;0,0011;0,1064
again;0,0010;0,1034
can;0,0010;0,1034
life;0,0010;0,1034
down;0,0010;0,1004
could;0,0010;0,0973
hear;0,0010;0,0973
mar;0,0010;0,0973
might;0,0010;0,0973
whose;0,0010;0,0973
dead;0,0009;0,0943
indeed;0,0009;0,0943
mine;0,0009;0,0943
nothing;0,0009;0,0943
guildenstern;0,0009;0,0912
heart;0,0009;0,0912
hold;0,0009;0,0912
made;0,0009;0,0912
ophelia;0,0009;0,0912
cannot;0,0009;0,0882
dear;0,0009;0,0882
guil;0,0009;0,0882
nature;0,0009;0,0882
other;0,0009;0,0882
pray;0,0009;0,0882
been;0,0009;0,0851
doth;0,0009;0,0851
into;0,0009;0,0851
leave;0,0009;0,0851
matter;0,0008;0,0821
were;0,0008;0,0821
world;0,0008;0,0821
denmark;0,0008;0,0791
does;0,0008;0,0791
great;0,0008;0,0791
head;0,0008;0,0791
nay;0,0008;0,0791
never;0,0008;0,0791
rosencrantz;0,0008;0,0791
two;0,0008;0,0791
away;0,0008;0,0760
call;0,0008;0,0760
comes;0,0008;0,0760
osr;0,0008;0,0760
part;0,0008;0,0760
sweet;0,0008;0,0760
against;0,0007;0,0730
earth;0,0007;0,0730
even;0,0007;0,0730
itself;0,0007;0,0730
put;0,0007;0,0730
scene;0,0007;0,0730
though;0,0007;0,0730
true;0,0007;0,0730
day;0,0007;0,0699
elsinore;0,0007;0,0699
eyes;0,0007;0,0699
players;0,0007;0,0699
show;0,0007;0,0699
son;0,0007;0,0699
within;0,0007;0,0699
before;0,0007;0,0669
done;0,0007;0,0669
fear;0,0007;0,0669
follow;0,0007;0,0669
madness;0,0007;0,0669
off;0,0007;0,0669
seen;0,0007;0,0669
set;0,0007;0,0669
england;0,0006;0,0639
fair;0,0006;0,0639
himself;0,0006;0,0639
mad;0,0006;0,0639
those;0,0006;0,0639
ber;0,0006;0,0608
first;0,0006;0,0608
friends;0,0006;0,0608
means;0,0006;0,0608
old;0,0006;0,0608
poor;0,0006;0,0608
still;0,0006;0,0608
till;0,0006;0,0608
words;0,0006;0,0608
act;0,0006;0,0578
aside;0,0006;0,0578
believe;0,0006;0,0578
blood;0,0006;0,0578
er;0,0006;0,0578
keep;0,0006;0,0578
once;0,0006;0,0578
thing;0,0006;0,0578
without;0,0006;0,0578
about;0,0005;0,0547
art;0,0005;0,0547
else;0,0005;0,0547
end;0,0005;0,0547
find;0,0005;0,0547
hand;0,0005;0,0547
