Word;Frequency;Frequency in %
и;0,0461;4,6096
в;0,0230;2,2976
не;0,0191;1,9063
что;0,0171;1,7115
он;0,0166;1,6557
на;0,0146;1,4644
с;0,0135;1,3453
как;0,0093;0,9311
я;0,0085;0,8480
его;0,0084;0,8385
к;0,0078;0,7835
то;0,0071;0,7142
она;0,0069;0,6870
но;0,0056;0,5562
это;0,0054;0,5398
было;0,0050;0,4987
сказал;0,0050;0,4956
так;0,0046;0,4614
князь;0,0044;0,4437
за;0,0044;0,4376
а;0,0043;0,4290
ему;0,0041;0,4060
всё;0,0040;0,4034
ее;0,0039;0,3935
по;0,0039;0,3935
из;0,0037;0,3740
о;0,0035;0,3524
же;0,0035;0,3498
был;0,0035;0,3463
от;0,0034;0,3437
у;0,0032;0,3151
только;0,0031;0,3056
вы;0,0030;0,3017
бы;0,0030;0,2961
еще;0,0027;0,2684
пьер;0,0027;0,2684
андрей;0,0026;0,2567
ты;0,0024;0,2389
для;0,0023;0,2281
мне;0,0023;0,2255
наташа;0,0022;0,2169
да;0,0021;0,2121
все;0,0021;0,2108
когда;0,0021;0,2082
была;0,0020;0,2039
сказала;0,0020;0,2039
него;0,0020;0,2030
себя;0,0019;0,1918
ростов;0,0019;0,1870
теперь;0,0018;0,1805
чтобы;0,0018;0,1770
были;0,0017;0,1731
быть;0,0017;0,1710
ни;0,0017;0,1697
уже;0,0017;0,1662
они;0,0016;0,1649
этого;0,0016;0,1615
меня;0,0016;0,1593
вот;0,0016;0,1571
говорил;0,0016;0,1571
ну;0,0015;0,1550
нет;0,0015;0,1528
того;0,0015;0,1528
время;0,0015;0,1519
очень;0,0015;0,1498
ей;0,0015;0,1493
de;0,0015;0,1463
опять;0,0015;0,1454
их;0,0014;0,1446
ничего;0,0014;0,1433
который;0,0014;0,1368
до;0,0014;0,1355
или;0,0014;0,1355
себе;0,0014;0,1351
будто;0,0013;0,1286
том;0,0013;0,1286
князя;0,0013;0,1268
ли;0,0013;0,1260
после;0,0013;0,1260
этот;0,0013;0,1260
чем;0,0013;0,1251
граф;0,0012;0,1208
во;0,0012;0,1195
княжна;0,0012;0,1190
ежели;0,0012;0,1164
лицо;0,0012;0,1164
всех;0,0011;0,1147
вас;0,0011;0,1138
которые;0,0011;0,1138
ней;0,0011;0,1134
раз;0,0011;0,1134
тем;0,0011;0,1134
глаза;0,0011;0,1130
мы;0,0011;0,1108
своей;0,0011;0,1082
будет;0,0011;0,1061
под;0,0011;0,1056
николай;0,0010;0,1043
ним;0,0010;0,1035
где;0,0010;0,1030
марья;0,0010;0,1026
мой;0,0010;0,1026
дело;0,0010;0,0983
может;0,0010;0,0978
своего;0,0010;0,0974
надо;0,0010;0,0961
a;0,0010;0,0957
вдруг;0,0010;0,0952
свою;0,0009;0,0948
вам;0,0009;0,0939
при;0,0009;0,0935
перед;0,0009;0,0931
vous;0,0009;0,0926
со;0,0009;0,0926
один;0,0009;0,0922
нее;0,0009;0,0905
более;0,0009;0,0900
мог;0,0009;0,0896
кто;0,0009;0,0883
потому;0,0009;0,0883
руку;0,0009;0,0883
сам;0,0009;0,0874
соня;0,0009;0,0866
человек;0,0009;0,0861
хорошо;0,0008;0,0844
несколько;0,0008;0,0827
le;0,0008;0,0822
про;0,0008;0,0814
пьера;0,0008;0,0809
анна;0,0008;0,0796
другой;0,0008;0,0796
эти;0,0008;0,0796
et;0,0008;0,0788
est;0,0008;0,0779
всегда;0,0008;0,0766
que;0,0008;0,0753
между;0,0008;0,0753
без;0,0007;0,0745
la;0,0007;0,0740
есть;0,0007;0,0740
своим;0,0007;0,0740
спросил;0,0007;0,0740
им;0,0007;0,0736
через;0,0007;0,0736
знаю;0,0007;0,0732
говорила;0,0007;0,0727
этом;0,0007;0,0727
которое;0,0007;0,0710
нему;0,0007;0,0701
потом;0,0007;0,0701
графиня;0,0007;0,0697
день;0,0007;0,0697
людей;0,0007;0,0697
нибудь;0,0007;0,0688
думал;0,0007;0,0680
долохов;0,0007;0,0675
которая;0,0007;0,0675
денисов;0,0007;0,0667
тебе;0,0007;0,0667
друг;0,0007;0,0662
которого;0,0007;0,0662
эту;0,0007;0,0662
борис;0,0007;0,0658
андрея;0,0007;0,0654
над;0,0007;0,0654
говорить;0,0006;0,0645
которой;0,0006;0,0645
об;0,0006;0,0641
улыбкой;0,0006;0,0636
голову;0,0006;0,0632
казалось;0,0006;0,0632
минуту;0,0006;0,0632
два;0,0006;0,0628
m;0,0006;0,0623
никогда;0,0006;0,0623
руки;0,0006;0,0623
стал;0,0006;0,0623
там;0,0006;0,0623
je;0,0006;0,0619
голос;0,0006;0,0619
отвечал;0,0006;0,0619
знал;0,0006;0,0610
этой;0,0006;0,0610
василий;0,0006;0,0602
даже;0,0006;0,0602
них;0,0006;0,0602
свое;0,0006;0,0602
своих;0,0006;0,0602
l;0,0006;0,0597
прежде;0,0006;0,0597
анатоль;0,0006;0,0593
больше;0,0006;0,0593
человека;0,0006;0,0593
видел;0,0006;0,0589
жизни;0,0006;0,0589
глазами;0,0006;0,0584
слова;0,0006;0,0580
графа;0,0006;0,0576
ваше;0,0006;0,0571
князю;0,0006;0,0567
нужно;0,0006;0,0567
mon;0,0006;0,0563
глядя;0,0006;0,0563
тоже;0,0006;0,0563
сказать;0,0006;0,0554
всем;0,0005;0,0550
вместе;0,0005;0,0545
улыбаясь;0,0005;0,0545
чего;0,0005;0,0545
видимо;0,0005;0,0537
вперед;0,0005;0,0532
могу;0,0005;0,0532
этих;0,0005;0,0532
ах;0,0005;0,0528
нем;0,0005;0,0524
ростова;0,0005;0,0524
хотел;0,0005;0,0524
всего;0,0005;0,0519
лица;0,0005;0,0515
несмотря;0,0005;0,0515
тому;0,0005;0,0515
ж;0,0005;0,0511
которую;0,0005;0,0511
разговор;0,0005;0,0511
офицер;0,0005;0,0506
назад;0,0005;0,0502
особенно;0,0005;0,0502
отца;0,0005;0,0502
свои;0,0005;0,0502
les;0,0005;0,0489
государь;0,0005;0,0489
вышел;0,0005;0,0485
здесь;0,0005;0,0485
уж;0,0005;0,0485
котором;0,0005;0,0480
которых;0,0005;0,0480
нельзя;0,0005;0,0476
письмо;0,0005;0,0476
тут;0,0005;0,0476
элен;0,0005;0,0476
много;0,0005;0,0472
одно;0,0005;0,0472
старый;0,0005;0,0472
тот;0,0005;0,0472
княгиня;0,0005;0,0463
подошел;0,0005;0,0463
подумал;0,0005;0,0463
пьеру;0,0005;0,0463
смотрел;0,0005;0,0463
ведь;0,0005;0,0459
тех;0,0005;0,0459
эта;0,0005;0,0459
кутузов;0,0005;0,0455
говорили;0,0005;0,0450
должен;0,0005;0,0450
кроме;0,0005;0,0450
лошадь;0,0005;0,0450
il;0,0004;0,0442
комнаты;0,0004;0,0442
люди;0,0004;0,0442
тебя;0,0004;0,0442
солдат;0,0004;0,0437
михайловна;0,0004;0,0433
жизнь;0,0004;0,0429
могла;0,0004;0,0429
нас;0,0004;0,0429
свой;0,0004;0,0429
тогда;0,0004;0,0424
чувство;0,0004;0,0424
лице;0,0004;0,0420
совсем;0,0004;0,0420
государя;0,0004;0,0416
обратился;0,0004;0,0416
совершенно;0,0004;0,0416
генерал;0,0004;0,0407
двери;0,0004;0,0407
стоял;0,0004;0,0407
чтоб;0,0004;0,0407
долго;0,0004;0,0403
дома;0,0004;0,0398
одна;0,0004;0,0398
видно;0,0004;0,0394
lle;0,0004;0,0390
давно;0,0004;0,0390
дверь;0,0004;0,0390
комнату;0,0004;0,0390
отец;0,0004;0,0390
очевидно;0,0004;0,0390
сделать;0,0004;0,0390
такое;0,0004;0,0390
хотя;0,0004;0,0390
ne;0,0004;0,0385
видеть;0,0004;0,0385
приехал;0,0004;0,0385
своем;0,0004;0,0385
какой;0,0004;0,0381
сейчас;0,0004;0,0381
ту;0,0004;0,0381
всю;0,0004;0,0377
пошел;0,0004;0,0377
продолжал;0,0004;0,0377
те;0,0004;0,0377
pas;0,0004;0,0372
un;0,0004;0,0372
которым;0,0004;0,0372
прямо;0,0004;0,0372
такой;0,0004;0,0372
этим;0,0004;0,0372
bourienne;0,0004;0,0368
друга;0,0004;0,0368
куда;0,0004;0,0368
одного;0,0004;0,0368
знаете;0,0004;0,0364
кого;0,0004;0,0364
моя;0,0004;0,0364
одной;0,0004;0,0364
первый;0,0004;0,0364
той;0,0004;0,0364
голосом;0,0004;0,0359
дела;0,0004;0,0359
комнате;0,0004;0,0359
можно;0,0004;0,0359
павловна;0,0004;0,0359
сделал;0,0004;0,0359
против;0,0004;0,0355
сидел;0,0004;0,0355
чувствовал;0,0004;0,0355
денисова;0,0004;0,0351
москве;0,0004;0,0351
никто;0,0004;0,0351
нынче;0,0004;0,0351
проговорил;0,0004;0,0351
собой;0,0004;0,0351
почти;0,0003;0,0346
сына;0,0003;0,0346
впереди;0,0003;0,0342
закричал;0,0003;0,0342
своему;0,0003;0,0342
своими;0,0003;0,0342
ce;0,0003;0,0338
nous;0,0003;0,0338
делать;0,0003;0,0338
лицом;0,0003;0,0338
тотчас;0,0003;0,0338
весело;0,0003;0,0333
выражение;0,0003;0,0333
c;0,0003;0,0329
d;0,0003;0,0329
вошел;0,0003;0,0329
зачем;0,0003;0,0329
молодой;0,0003;0,0329
une;0,0003;0,0325
бог;0,0003;0,0325
времени;0,0003;0,0325
милый;0,0003;0,0325
ростовых;0,0003;0,0325
сын;0,0003;0,0325
таким;0,0003;0,0325
три;0,0003;0,0325
андрею;0,0003;0,0320
люблю;0,0003;0,0320
глаз;0,0003;0,0316
дмитриевна;0,0003;0,0316
ехать;0,0003;0,0316
ко;0,0003;0,0316
лучше;0,0003;0,0316
нам;0,0003;0,0316
остановился;0,0003;0,0316
багратион;0,0003;0,0312
взял;0,0003;0,0312
другие;0,0003;0,0312
думала;0,0003;0,0312
наташи;0,0003;0,0312
солдаты;0,0003;0,0312
болконский;0,0003;0,0307
весь;0,0003;0,0307
войска;0,0003;0,0307
ростову;0,0003;0,0307
руками;0,0003;0,0307
pour;0,0003;0,0303
быстро;0,0003;0,0303
голоса;0,0003;0,0303
если;0,0003;0,0303
знает;0,0003;0,0303
княжны;0,0003;0,0303
лошади;0,0003;0,0303
наташе;0,0003;0,0303
подле;0,0003;0,0303
поехал;0,0003;0,0303
двух;0,0003;0,0299
qui;0,0003;0,0294
бориса;0,0003;0,0294
наташу;0,0003;0,0294
стали;0,0003;0,0294
ясно;0,0003;0,0294
ma;0,0003;0,0290
армии;0,0003;0,0290
вся;0,0003;0,0290
доме;0,0003;0,0290
других;0,0003;0,0290
старик;0,0003;0,0290
гостиной;0,0003;0,0286
знать;0,0003;0,0286
мимо;0,0003;0,0286
минуты;0,0003;0,0286
наконец;0,0003;0,0286
улыбнулся;0,0003;0,0286
долохова;0,0003;0,0281
обращаясь;0,0003;0,0281
около;0,0003;0,0281
слишком;0,0003;0,0281
слово;0,0003;0,0281
увидал;0,0003;0,0281
часто;0,0003;0,0281
en;0,0003;0,0277
говорит;0,0003;0,0277
должно;0,0003;0,0277
стало;0,0003;0,0277
n;0,0003;0,0273
андреич;0,0003;0,0273
каждый;0,0003;0,0273
кажется;0,0003;0,0273
молча;0,0003;0,0273
отчего;0,0003;0,0273
точно;0,0003;0,0273
des;0,0003;0,0268
буду;0,0003;0,0268
думаю;0,0003;0,0268
крикнул;0,0003;0,0268
место;0,0003;0,0268
стояли;0,0003;0,0268
берг;0,0003;0,0264
головой;0,0003;0,0264
мать;0,0003;0,0264
любви;0,0003;0,0260
прибавил;0,0003;0,0260
стороны;0,0003;0,0260
та;0,0003;0,0260
две;0,0003;0,0255
дня;0,0003;0,0255
пор;0,0003;0,0255
стала;0,0003;0,0255
увидав;0,0003;0,0255
французов;0,0003;0,0255
выражением;0,0003;0,0251
завтра;0,0003;0,0251
какое;0,0003;0,0251
марьи;0,0003;0,0251
матери;0,0003;0,0251
ноги;0,0003;0,0251
разве;0,0003;0,0251
анатоля;0,0002;0,0247
видом;0,0002;0,0247
года;0,0002;0,0247
императора;0,0002;0,0247
сама;0,0002;0,0247
тяжело;0,0002;0,0247
этому;0,0002;0,0247
кутузова;0,0002;0,0242
начал;0,0002;0,0242
невольно;0,0002;0,0242
правда;0,0002;0,0242
скоро;0,0002;0,0242
указывая;0,0002;0,0242
du;0,0002;0,0238
бонапарте;0,0002;0,0238
брат;0,0002;0,0238
всей;0,0002;0,0238
гостей;0,0002;0,0238
дать;0,0002;0,0238
знаешь;0,0002;0,0238
какая;0,0002;0,0238
кричал;0,0002;0,0238
право;0,0002;0,0238
рукой;0,0002;0,0238
mais;0,0002;0,0234
вами;0,0002;0,0234
вечер;0,0002;0,0234
взгляд;0,0002;0,0234
говорю;0,0002;0,0234
говорят;0,0002;0,0234
знала;0,0002;0,0234
иногда;0,0002;0,0234
несвицкий;0,0002;0,0234
полк;0,0002;0,0234
понял;0,0002;0,0234
вопрос;0,0002;0,0229
го;0,0002;0,0229
дальше;0,0002;0,0229
душе;0,0002;0,0229
желая;0,0002;0,0229
жюли;0,0002;0,0229
командир;0,0002;0,0229
посмотрел;0,0002;0,0229
свете;0,0002;0,0229
сидела;0,0002;0,0229
таки;0,0002;0,0229
такие;0,0002;0,0229
тихо;0,0002;0,0229
qu;0,0002;0,0225
видела;0,0002;0,0225
дядюшка;0,0002;0,0225
николая;0,0002;0,0225
сторон;0,0002;0,0225
вид;0,0002;0,0221
встал;0,0002;0,0221
вышла;0,0002;0,0221
гостиную;0,0002;0,0221
лошадей;0,0002;0,0221
могли;0,0002;0,0221
наполеон;0,0002;0,0221
наш;0,0002;0,0221
оглянулся;0,0002;0,0221
петербурге;0,0002;0,0221
понять;0,0002;0,0221
почему;0,0002;0,0221
радостно;0,0002;0,0221
сколько;0,0002;0,0221
штаб;0,0002;0,0221
вечера;0,0002;0,0216
зная;0,0002;0,0216
которому;0,0002;0,0216
отвечала;0,0002;0,0216
платье;0,0002;0,0216
понимаю;0,0002;0,0216
поспешно;0,0002;0,0216
рад;0,0002;0,0216
смотрела;0,0002;0,0216
вокруг;0,0002;0,0212
государю;0,0002;0,0212
женщины;0,0002;0,0212
звуки;0,0002;0,0212
лет;0,0002;0,0212
ними;0,0002;0,0212
письма;0,0002;0,0212
сиятельство;0,0002;0,0212
хотелось;0,0002;0,0212
chere;0,0002;0,0208
me;0,0002;0,0208
верно;0,0002;0,0208
взглядом;0,0002;0,0208
взглянул;0,0002;0,0208
дом;0,0002;0,0208
любовь;0,0002;0,0208
маленькая;0,0002;0,0208
мысли;0,0002;0,0208
нею;0,0002;0,0208
пока;0,0002;0,0208
самого;0,0002;0,0208
сел;0,0002;0,0208
слезы;0,0002;0,0208
смотрели;0,0002;0,0208
собою;0,0002;0,0208
tout;0,0002;0,0203
адъютант;0,0002;0,0203
боже;0,0002;0,0203
бывает;0,0002;0,0203
заметил;0,0002;0,0203
каким;0,0002;0,0203
слышал;0,0002;0,0203
спросила;0,0002;0,0203
сюда;0,0002;0,0203
plus;0,0002;0,0199
дочери;0,0002;0,0199
другое;0,0002;0,0199
имел;0,0002;0,0199
оба;0,0002;0,0199
ожидая;0,0002;0,0199
положение;0,0002;0,0199
сердито;0,0002;0,0199
середине;0,0002;0,0199
сражения;0,0002;0,0199
чуть;0,0002;0,0199
шопотом;0,0002;0,0199
comme;0,0002;0,0195
ближе;0,0002;0,0195
глазах;0,0002;0,0195
графини;0,0002;0,0195
деле;0,0002;0,0195
думать;0,0002;0,0195
илья;0,0002;0,0195
мало;0,0002;0,0195
молодого;0,0002;0,0195
москву;0,0002;0,0195
мост;0,0002;0,0195
обеда;0,0002;0,0195
оно;0,0002;0,0195
полковой;0,0002;0,0195
послышался;0,0002;0,0195
стараясь;0,0002;0,0195
старого;0,0002;0,0195
cher;0,0002;0,0190
dans;0,0002;0,0190
брата;0,0002;0,0190
гусар;0,0002;0,0190
деньги;0,0002;0,0190
мама;0,0002;0,0190
мной;0,0002;0,0190
никого;0,0002;0,0190
сзади;0,0002;0,0190
т;0,0002;0,0190
узнал;0,0002;0,0190
хоть;0,0002;0,0190
шел;0,0002;0,0190
si;0,0002;0,0186
весьма;0,0002;0,0186
коли;0,0002;0,0186
любил;0,0002;0,0186
марье;0,0002;0,0186
места;0,0002;0,0186
месте;0,0002;0,0186
однако;0,0002;0,0186
сидели;0,0002;0,0186
скажу;0,0002;0,0186
спокойно;0,0002;0,0186
спрашивал;0,0002;0,0186
стола;0,0002;0,0186
тысяч;0,0002;0,0186
господа;0,0002;0,0182
должны;0,0002;0,0182
другого;0,0002;0,0182
княжне;0,0002;0,0182
легко;0,0002;0,0182
милая;0,0002;0,0182
мысль;0,0002;0,0182
напротив;0,0002;0,0182
ночь;0,0002;0,0182
одну;0,0002;0,0182
повторил;0,0002;0,0182
прошу;0,0002;0,0182
сторону;0,0002;0,0182
такого;0,0002;0,0182
французы;0,0002;0,0182
хочет;0,0002;0,0182
анны;0,0002;0,0177
богу;0,0002;0,0177
большой;0,0002;0,0177
видал;0,0002;0,0177
действительно;0,0002;0,0177
желал;0,0002;0,0177
князем;0,0002;0,0177
наши;0,0002;0,0177
офицера;0,0002;0,0177
последнее;0,0002;0,0177
слушал;0,0002;0,0177
тушин;0,0002;0,0177
хотела;0,0002;0,0177
г;0,0002;0,0173
графу;0,0002;0,0173
далеко;0,0002;0,0173
дорогу;0,0002;0,0173
дочь;0,0002;0,0173
жены;0,0002;0,0173
именно;0,0002;0,0173
император;0,0002;0,0173
равно;0,0002;0,0173
слов;0,0002;0,0173
страшно;0,0002;0,0173
тобой;0,0002;0,0173
успел;0,0002;0,0173
хочу;0,0002;0,0173
чувствовала;0,0002;0,0173
вера;0,0002;0,0169
вечером;0,0002;0,0169
дороге;0,0002;0,0169
жить;0,0002;0,0169
здоровье;0,0002;0,0169
наташей;0,0002;0,0169
наших;0,0002;0,0169
неприятеля;0,0002;0,0169
почувствовал;0,0002;0,0169
прошел;0,0002;0,0169
самых;0,0002;0,0169
скорее;0,0002;0,0169
страх;0,0002;0,0169
хочешь;0,0002;0,0169
on;0,0002;0,0164
багратиона;0,0002;0,0164
бога;0,0002;0,0164
болконского;0,0002;0,0164
вероятно;0,0002;0,0164
всеми;0,0002;0,0164
главное;0,0002;0,0164
главнокомандующего;0,0002;0,0164
гости;0,0002;0,0164
ипполит;0,0002;0,0164
маленькой;0,0002;0,0164
начала;0,0002;0,0164
оглядываясь;0,0002;0,0164
офицеры;0,0002;0,0164
петербург;0,0002;0,0164
положении;0,0002;0,0164
руке;0,0002;0,0164
русские;0,0002;0,0164
сперанский;0,0002;0,0164
улыбнулась;0,0002;0,0164
часть;0,0002;0,0164
батюшка;0,0002;0,0160
близко;0,0002;0,0160
говоря;0,0002;0,0160
кабинет;0,0002;0,0160
какие;0,0002;0,0160
командира;0,0002;0,0160
минут;0,0002;0,0160
неужели;0,0002;0,0160
одним;0,0002;0,0160
отвечая;0,0002;0,0160
офицеров;0,0002;0,0160
поцеловал;0,0002;0,0160
просто;0,0002;0,0160
