Word;Frequency;Frequency in %
args;5;5,6818
file;5;5,6818
wordreader;4;4,5455
outputfile;3;3,4091
string;3;3,4091
1;2;2,2727
2;2;2,2727
a;2;2,2727
csv;2;2,2727
in;2;2,2727
input;2;2,2727
inputfile;2;2,2727
is;2;2,2727
length;2;2,2727
main;2;2,2727
new;2;2,2727
println;2;2,2727
public;2;2,2727
reader;2;2,2727
system;2;2,2727
the;2;2,2727
this;2;2,2727
txt;2;2,2727
wordwriter;2;2,2727
writer;2;2,2727
0;1;1,1364
arguments;1;1,1364
class;1;1,1364
collectwordsfromtextfile;1;1,1364
completed;1;1,1364
err;1;1,1364
error;1;1,1364
format;1;1,1364
from;1;1,1364
getnumberofwords;1;1,1364
getwordcounters;1;1,1364
if;1;1,1364
n;1;1,1364
not;1;1,1364
number;1;1,1364
of;1;1,1364
out;1;1,1364
output;1;1,1364
please;1;1,1364
reading;1;1,1364
result;1;1,1364
return;1;1,1364
static;1;1,1364
suitable;1;1,1364
to;1;1,1364
void;1;1,1364
writewordsintocsvfile;1;1,1364
writing;1;1,1364
